Time,X,Y
4.166666666666667129e-02,4.503063964843750000e+02,5.341170654296875000e+02
8.333333333333334259e-02,4.500505371093750000e+02,5.328270874023437500e+02
1.250000000000000000e-01,4.500849914550781250e+02,5.319549560546875000e+02
1.666666666666666852e-01,3.487771911621093750e+02,2.583321533203125000e+02
2.083333333333333426e-01,4.166517028808593750e+02,5.180245971679687500e+02
2.500000000000000000e-01,4.486628723144531250e+02,5.309906616210937500e+02
2.916666666666666852e-01,6.190641479492187500e+02,6.329228515625000000e+02
3.333333333333333703e-01,3.267077026367187500e+02,9.861669311523437500e+02
3.750000000000000000e-01,2.628421020507812500e+02,2.445376281738281250e+02
4.166666666666666852e-01,4.240541687011718750e+02,5.246974487304687500e+02
4.583333333333333703e-01,4.506852416992187500e+02,5.302771606445312500e+02
5.000000000000000000e-01,4.730461120605468750e+02,6.048784790039062500e+02
5.416666666666667407e-01,4.191353149414062500e+02,5.182277832031250000e+02
5.833333333333333703e-01,6.226104736328125000e+02,6.318878173828125000e+02
6.250000000000000000e-01,6.244603271484375000e+02,6.321496582031250000e+02
6.666666666666667407e-01,4.765965881347656250e+02,6.047136840820312500e+02
7.083333333333333703e-01,4.773047180175781250e+02,6.046541137695312500e+02
7.500000000000000000e-01,4.562226562500000000e+02,5.294254150390625000e+02
7.916666666666667407e-01,6.284057006835937500e+02,6.316607055664062500e+02
8.333333333333333703e-01,4.250483703613281250e+02,5.183006591796875000e+02
8.750000000000000000e-01,4.814680480957031250e+02,6.031830444335937500e+02
9.166666666666667407e-01,4.820653381347656250e+02,6.025844726562500000e+02
9.583333333333333703e-01,4.832113037109375000e+02,6.013520507812500000e+02
1.000000000000000000e+00,3.233359069824218750e+02,3.046439819335937500e+02
1.041666666666666741e+00,6.331395874023437500e+02,6.295665283203125000e+02
1.083333333333333481e+00,4.854430541992187500e+02,6.012496337890625000e+02
1.125000000000000000e+00,6.365005493164062500e+02,6.302049560546875000e+02
1.166666666666666741e+00,6.389498291015625000e+02,6.328321533203125000e+02
1.208333333333333481e+00,6.441530761718750000e+02,6.394473266601562500e+02
1.250000000000000000e+00,6.586695556640625000e+02,6.536698608398437500e+02
1.291666666666666741e+00,6.783215332031250000e+02,5.427539062500000000e+02
1.333333333333333481e+00,5.635401000976562500e+02,7.275324096679687500e+02
1.375000000000000000e+00,5.805882568359375000e+02,7.666409912109375000e+02
1.416666666666666741e+00,3.907182617187500000e+02,7.151053466796875000e+02
1.458333333333333481e+00,3.592238159179687500e+02,2.461672821044921875e+02
1.500000000000000000e+00,1.974583435058593750e+02,5.428887329101562500e+02
1.541666666666666741e+00,4.060401000976562500e+02,4.404268798828125000e+02
1.583333333333333481e+00,6.365021972656250000e+02,9.129004516601562500e+02
1.625000000000000000e+00,6.771698608398437500e+02,8.480192871093750000e+02
1.666666666666666741e+00,6.945480957031250000e+02,8.639429321289062500e+02
1.708333333333333481e+00,1.419319458007812500e+02,5.177858276367187500e+02
1.750000000000000000e+00,7.073787231445312500e+02,9.420985717773437500e+02
1.791666666666666741e+00,6.565455932617187500e+02,1.093129760742187500e+03
1.833333333333333481e+00,3.258407287597656250e+02,3.145668029785156250e+02
1.875000000000000000e+00,3.855951232910156250e+02,5.101038818359375000e+02
1.916666666666666741e+00,4.739113464355468750e+02,5.857105102539062500e+02
1.958333333333333481e+00,3.691414184570312500e+02,5.104089965820312500e+02
2.000000000000000000e+00,4.922532348632812500e+02,5.438395385742187500e+02
2.041666666666666963e+00,4.619862365722656250e+02,5.112908325195312500e+02
2.083333333333333481e+00,4.406362304687500000e+02,5.145242919921875000e+02
2.125000000000000000e+00,5.457215576171875000e+02,5.116833190917968750e+02
2.166666666666666963e+00,3.503541870117187500e+02,4.959667968750000000e+02
2.208333333333333481e+00,3.123970336914062500e+02,3.678425903320312500e+02
2.250000000000000000e+00,3.061156005859375000e+02,5.362526245117187500e+02
2.291666666666666963e+00,2.804264526367187500e+02,3.636626586914062500e+02
2.333333333333333481e+00,2.988751831054687500e+02,2.776137390136718750e+02
2.375000000000000000e+00,2.874963684082031250e+02,2.876199645996093750e+02
2.416666666666666963e+00,2.729371032714843750e+02,2.679580383300781250e+02
2.458333333333333481e+00,3.078461608886718750e+02,3.658399658203125000e+02
2.500000000000000000e+00,2.600965270996093750e+02,5.341835937500000000e+02
2.541666666666666963e+00,3.245771179199218750e+02,5.395468750000000000e+02
2.583333333333333481e+00,3.500590209960937500e+02,5.746468505859375000e+02
2.625000000000000000e+00,4.471167907714843750e+02,5.595222167968750000e+02
2.666666666666666963e+00,4.464275207519531250e+02,5.299079589843750000e+02
2.708333333333333481e+00,4.464930114746093750e+02,4.933653259277343750e+02
2.750000000000000000e+00,4.287828369140625000e+02,3.806576843261718750e+02
2.791666666666666963e+00,5.064038391113281250e+02,5.259553222656250000e+02
2.833333333333333481e+00,4.718516845703125000e+02,5.405979614257812500e+02
2.875000000000000000e+00,3.957031860351562500e+02,5.554357910156250000e+02
2.916666666666666963e+00,4.223687438964843750e+02,5.625895996093750000e+02
2.958333333333333481e+00,3.103226013183593750e+02,3.955388183593750000e+02
3.000000000000000000e+00,2.936513671875000000e+02,3.950812377929687500e+02
3.041666666666666963e+00,2.906636352539062500e+02,2.623308715820312500e+02
